code,name,lat,long
ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,33.64,-84.427
PEK,CAPITAL,40.08,116.584
DXB,DUBAI INTERNATIONAL,25.255,55.364
LAX,LOS ANGELES INTERNATIONAL,33.942,-118.408
ORD,CHICAGO OHARE INTERNATIONAL,41.979,-87.904
LHR,HEATHROW,51.477,-0.461
HND,TOKYO INTERNATIONAL,35.552,139.779
HKG,HONG KONG INTERNATIONAL,22.309,113.914
CDG,CHARLES DE GAULLE,49.013,2.55
AMS,SCHIPHOL,52.309,4.764
DFW,DALLAS FORT WORTH INTERNATIONAL,32.896,-97.037
CAN,BAIYUN,23.184,113.266
FRA,FRANKFURT MAIN,50.026,8.543
IST,ATATURK,40.977,28.821
DEL,INDIRA GANDHI INTERNATIONAL,28.566,77.103
CGK,SOEKARNO HATTA INTERNATIONAL,-6.126,106.656
SIN,SINGAPORE CHANGI,1.356,103.987
DEN,DENVER INTERNATIONAL,39.858,-104.667
BKK,BANGKOK INTERNATIONAL,13.912,100.607
JFK,JOHN F KENNEDY INTERNATIONAL,40.64,-73.779
KUL,KUALA LUMPUR INTERNATIONAL,2.746,101.71
SFO,SAN FRANCISCO INTERNATIONAL,37.619,-122.375
MAD,BARAJAS,40.472,-3.561
CTU,SHUANGLIU,30.578,103.947
LAS,MC CARRAN INTERNATIONAL,36.08,-115.152
BCN,BARCELONA,41.297,2.078
BOM,CHHATRAPATI SHIVAJI INTERNATIONAL,19.089,72.868
YYZ,LESTER B PEARSON INTERNATIONAL,43.677,-79.631
SEA,SEATTLE TACOMA INTERNATIONAL,47.449,-122.309
CLT,CHARLOTTE DOUGLAS INTERNATIONAL,35.214,-80.943
LGW,GATWICK,51.148,-0.19
SZX,BAOAN,22.639,113.812
TPE,CHIANG KAI SHEK INTERNATIONAL,25.08,121.232
MEX,LICENCIADO BENITO JUAREZ INTERNATIONAL,19.436,-99.072
KMG,WUJIABA,24.992,102.743
MUC,MUNICH,48.354,11.786
MCO,ORLANDO INTERNATIONAL,28.429,-81.316
MIA,MIAMI INTERNATIONAL,25.793,-80.291
PHX,PHOENIX SKY HARBOR INTERNATIONAL,33.434,-112.008
SYD,KINGSFORD SMITH INTERNATIONAL AIRPORT,-33.946,151.177
EWR,NEWARK LIBERTY INTERNATIONAL,40.692,-74.169
MNL,NINOY AQUINO INTERNATIONAL,14.509,121.019
MNL,MALABANG,7.617,124.059
SHA,HONGQIAO INTERNATIONAL,31.198,121.336
XIY,XIANYANG,34.446,108.752
FCO,FIUMICINO,41.813,12.253
IAH,GEORGE BUSH INTCNTL HOUSTON,29.98,-95.34
NRT,NEW TOKYO INTERNATIONAL,35.765,140.386
SVO,SHEREMETYEVO,55.972,37.415
CKG,JIANGBEI,29.719,106.641
MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,44.88,-93.217
GRU,GUARULHOS,-23.432,-46.469
BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,42.364,-71.005
SGN,TANSONNHAT INTERNATIONAL,10.82,106.662
DOH,DOHA INTERNATIONAL,25.261,51.565
HGH,XIAOSHAN,30.228,120.432
DTW,DETROIT METRO WAYNE CO,42.212,-83.353
JED,KING ABDULAZIZ INTERNATIONAL,21.679,39.156
MEL,MELBOURNE INTERNATIONAL,-37.673,144.843
FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,26.072,-80.153
ORL,EXECUTIVE,28.545,-81.333
BOG,ELDORADO INTERNATIONAL,4.701,-74.147
CJU,JEJU INTERNATIONAL,33.511,126.493
LGA,LA GUARDIA,40.777,-73.872
PHL,PHILADELPHIA INTERNATIONAL,39.872,-75.241
DUB,DUBLIN,53.421,-6.27
ZRH,ZURICH,47.465,8.549
CPH,KASTRUP,55.618,12.656
PMI,PALMA DE MALLORCA,39.55,2.733
MAN,MANCHESTER,53.354,-2.275
OSL,OSLO GARDERMOEN,60.194,11.1
LIS,LISBOA,38.781,-9.136
ARN,ARLANDA,59.652,17.919
BWI,BALTIMORE WASHINGTON INTERNATIONAL,39.175,-76.668
AYT,ANTALYA,36.901,30.792
STN,STANSTED,51.885,0.235
NKG,LU KOU AIRPORT,31.74,118.86
GMP,GIMPO,37.558,126.791
BLR,BANGALORE,12.95,77.668
RUH,KING KHALED INTERNATIONAL,24.957,46.699
BRU,BRUSSELS NATL,50.902,4.499
DUS,DUSSELDORF,51.289,6.767
XMN,GAOQI,24.544,118.127
VIE,SCHWECHAT,48.11,16.57
CGO,XINZHENG,34.519,113.841
