ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.4281
PEK,Beijing Capital International Airport,40.0801,116.585
DXB,Dubai International Airport,25.2528,55.3644
LAX,Los Angeles International Airport,33.9425,-118.408
ORD,Chicago O'Hare International Airport,41.9786,-87.9048
LHR,London Heathrow Airport,51.4706,-0.4619
HND,Tokyo Haneda International Airport,35.5523,139.78
HKG,Hong Kong International Airport,22.3089,113.915
CDG,Charles de Gaulle International Airport,49.0128,2.55
AMS,Amsterdam Airport Schiphol,52.3086,4.7639
DFW,Dallas Fort Worth International Airport,32.8968,-97.038
CAN,Guangzhou Baiyun International Airport,23.3924,113.299
FRA,Frankfurt am Main Airport,50.0333,8.5706
IST,Istanbul Airport,41.2753,28.7519
DEL,Indira Gandhi International Airport,28.5665,77.1031
CGK,Soekarno-Hatta International Airport,-6.1256,106.656
SIN,Singapore Changi Airport,1.3502,103.994
DEN,Denver International Airport,39.8617,-104.673
BKK,Suvarnabhumi Airport,13.6811,100.747
JFK,John F Kennedy International Airport,40.6398,-73.7789
KUL,Kuala Lumpur International Airport,2.7456,101.71
SFO,San Francisco International Airport,37.619,-122.375
MAD,Adolfo Suárez Madrid–Barajas Airport,40.4719,-3.5626
CTU,Chengdu Shuangliu International Airport,30.5785,103.947
LAS,McCarran International Airport,36.0801,-115.152
BCN,Barcelona International Airport,41.2971,2.0785
BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679
YYZ,Lester B. Pearson International Airport,43.6772,-79.6306
SEA,Seattle Tacoma International Airport,47.449,-122.309
CLT,Charlotte Douglas International Airport,35.214,-80.9431
LGW,London Gatwick Airport,51.1481,-0.1903
SZX,Shenzhen Bao'an International Airport,22.6393,113.811
TPE,Taiwan Taoyuan International Airport,25.0777,121.233
MEX,Licenciado Benito Juarez International Airport,19.4363,-99.0721
KMG,Kunming Changshui International Airport,25.1019,102.9292
MUC,Munich Airport,48.3538,11.7861
MCO,Orlando International Airport,28.4294,-81.309
MIA,Miami International Airport,25.7932,-80.2906
PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
SYD,Sydney Kingsford Smith International Airport,-33.9461,151.177
EWR,Newark Liberty International Airport,40.6925,-74.1687
MNL,Ninoy Aquino International Airport,14.5086,121.02
SHA,Shanghai Hongqiao International Airport,31.1979,121.336
XIY,Xi'an Xianyang International Airport,34.4471,108.752
FCO,Leonardo da Vinci–Fiumicino Airport,41.8003,12.2389
IAH,George Bush Intercontinental Houston Airport,29.9844,-95.3414
NRT,Narita International Airport,35.7647,140.386
SVO,Sheremetyevo International Airport,55.9726,37.4146
CKG,Chongqing Jiangbei International Airport,29.7192,106.642
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.2218
GRU,Guarulhos - Governador André Franco Montoro International Airport,-23.4356,-46.4731
BOS,General Edward Lawrence Logan International Airport,42.3643,-71.0052
SGN,Tan Son Nhat International Airport,10.8188,106.652
DOH,Hamad International Airport,25.2731,51.6081
HGH,Hangzhou Xiaoshan International Airport,30.2295,120.434
DTW,Detroit Metropolitan Wayne County Airport,42.2124,-83.3534
JED,King Abdulaziz International Airport,21.6796,39.1565
MEL,Melbourne International Airport,-37.6733,144.843
FLL,Fort Lauderdale Hollywood International Airport,26.0726,-80.1527
ORL,Orlando Executive Airport,28.5455,-81.3329
BOG,El Dorado International Airport,4.7016,-74.1469
CJU,Jeju International Airport,33.5113,126.493
LGA,La Guardia Airport,40.7772,-73.8726
PHL,Philadelphia International Airport,39.8719,-75.2411
DUB,Dublin Airport,53.4213,-6.2701
ZRH,Zürich Airport,47.4647,8.5492
CPH,Copenhagen Kastrup Airport,55.6179,12.656
PMI,Palma De Mallorca Airport,39.5517,2.7388
MAN,Manchester Airport,53.3537,-2.275
OSL,Oslo Lufthavn,60.121,11.0502
