Code,Airport Name,City,Country,Altitude,Lat,Long,Traffic Rank,Traffic
ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,313,33.64,-84.427,1,103902992
PEK,CAPITAL,BEIJING,CHINA,36,40.08,116.584,2,95786442
DXB,DUBAI INTERNATIONAL,DUBAI,UNITED ARAB EMIRATES,11,25.255,55.364,3,88242099
LAX,LOS ANGELES INTERNATIONAL,LOS ANGELES,USA,39,33.942,-118.408,4,84557968
ORD,CHICAGO OHARE INTERNATIONAL,CHICAGO,USA,204,41.979,-87.904,5,79828183
LHR,HEATHROW,LONDON,ENGALND,25,51.477,-0.461,6,78014598
HND,TOKYO INTERNATIONAL,TOKYO,JAPAN,11,35.552,139.779,7,76476251
HKG,HONG KONG INTERNATIONAL,HONG KONG,HONG KONG,9,22.309,113.914,8,72665078
CDG,CHARLES DE GAULLE,PARIS,FRANCE,120,49.013,2.55,10,69471442
AMS,SCHIPHOL,AMSTERDAM,NETHERLANDS,-3,52.309,4.764,11,68515425
DFW,DALLAS FORT WORTH INTERNATIONAL,DALLAS-FORT WORTH,USA,184,32.896,-97.037,12,67092194
CAN,BAIYUN,GUANGZHOU,CHINA,12,23.184,113.266,13,65887473
FRA,FRANKFURT MAIN,FRANKFURT,GERMANY,111,50.026,8.543,14,64500386
IST,ATATURK,ISTANBUL,TURKEY,50,40.977,28.821,15,63859785
DEL,INDIRA GANDHI INTERNATIONAL,DELHI,INDIA,237,28.566,77.103,16,63451503
CGK,SOEKARNO HATTA INTERNATIONAL,JAKARTA,INDONESIA,11,-6.126,106.656,17,63015620
SIN,SINGAPORE CHANGI,SINGAPORE,SINGAPORE,7,1.356,103.987,18,62219573
DEN,DENVER INTERNATIONAL,DENVER,USA,1656,39.858,-104.667,20,61379396
BKK,BANGKOK INTERNATIONAL,BANGKOK,THAILAND,3,13.912,100.607,21,60860557
JFK,JOHN F KENNEDY INTERNATIONAL,NEW YORK,USA,4,40.64,-73.779,22,59392500
KUL,KUALA LUMPUR INTERNATIONAL,KUALA LUMPUR,MALAYSIA,22,2.746,101.71,23,58558440
SFO,SAN FRANCISCO INTERNATIONAL,SAN FRANCISCO,USA,4,37.619,-122.375,24,55822129
MAD,BARAJAS,MADRID,SPAIN,610,40.472,-3.561,25,53386075
CTU,SHUANGLIU,CHENGDU,CHINA,495,30.578,103.947,26,49801693
LAS,MC CARRAN INTERNATIONAL,LAS VEGAS,USA,665,36.08,-115.152,27,48566803
BCN,BARCELONA,BARCELONA,SPAIN,4,41.297,2.078,28,47262826
BOM,CHHATRAPATI SHIVAJI INTERNATIONAL,BOMBAY,INDIA,12,19.089,72.868,29,47204259
YYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,174,43.677,-79.631,30,47054696
SEA,SEATTLE TACOMA INTERNATIONAL,SEATTLE,USA,131,47.449,-122.309,31,46934194
CLT,CHARLOTTE DOUGLAS INTERNATIONAL,CHARLOTTE,USA,229,35.214,-80.943,32,45909899
LGW,GATWICK,LONDON,ENGLAND,60,51.148,-0.19,33,45561694
SZX,BAOAN,SHENZHEN,CHINA,4,22.639,113.812,34,45558409
TPE,CHIANG KAI SHEK INTERNATIONAL,TAIPEI,TAIWAN,33,25.08,121.232,35,44878703
MEX,LICENCIADO BENITO JUAREZ INTERNATIONAL,MEXICO CITY,MEXICO,2230,19.436,-99.072,36,44732418
KMG,WUJIABA,KUNMING,CHINA,1895,24.992,102.743,37,44729736
MUC,MUNICH,MUNICH,GERMANY,454,48.354,11.786,38,44577241
MCO,ORLANDO INTERNATIONAL,ORLANDO,USA,30,28.429,-81.316,39,44511265
MIA,MIAMI INTERNATIONAL,MIAMI,USA,3,25.793,-80.291,40,44071313
PHX,PHOENIX SKY HARBOR INTERNATIONAL,PHOENIX,USA,346,33.434,-112.008,41,43921670
SYD,KINGSFORD SMITH INTERNATIONAL AIRPORT,SYDNEY,AUSTRALIA,7,-33.946,151.177,42,43410355
EWR,NEWARK LIBERTY INTERNATIONAL,NEWARK,USA,6,40.692,-74.169,43,43393499
MNL,NINOY AQUINO INTERNATIONAL,MANILA,PHILIPPINES,23,14.509,121.019,44,42022484
MNL,MALABANG,MANILA,PHILIPPINES,9,7.617,124.059,44,42022484
SHA,HONGQIAO INTERNATIONAL,SHANGHAI,CHINA,4,31.198,121.336,45,41884059
XIY,XIANYANG,XI'AN,CHINA,480,34.446,108.752,46,41857406
FCO,FIUMICINO,ROME,ITALY,4,41.813,12.253,47,40968756
IAH,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,USA,30,29.98,-95.34,48,40696189
NRT,NEW TOKYO INTERNATIONAL,TOKYO,JAPAN,43,35.765,140.386,49,40631193
SVO,SHEREMETYEVO,MOSCOW,RUSSIA,193,55.972,37.415,50,40092806
CKG,JIANGBEI,CHONGQING,CHINA,417,29.719,106.641,51,38715210
MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,USA,257,44.88,-93.217,53,38034341
GRU,GUARULHOS,SAO PAULO,BRAZIL,750,-23.432,-46.469,54,37774000
BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,BOSTON,USA,6,42.364,-71.005,55,36288042
SGN,TANSONNHAT INTERNATIONAL,HO CHI MINH CITY,VIET NAM,11,10.82,106.662,56,35900000
DOH,DOHA INTERNATIONAL,DOHA,QATAR,11,25.261,51.565,57,35867252
HGH,XIAOSHAN,HANGZHOU,CHINA,8,30.228,120.432,58,35570411
DTW,DETROIT METRO WAYNE CO,DETROIT,USA,197,42.212,-83.353,59,34701497
JED,KING ABDULAZIZ INTERNATIONAL,JEDDAH,SAUDI ARABIA,15,21.679,39.156,60,33917282
MEL,MELBOURNE INTERNATIONAL,MELBOURNE,AUSTRALIA,133,-37.673,144.843,61,33704854
FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,FORT LAUDERDALE,USA,3,26.072,-80.153,62,32511053
ORL,EXECUTIVE,ORLANDO,USA,35,28.545,-81.333,63,32042475
BOG,ELDORADO INTERNATIONAL,BOGOTA,COLOMBIA,2549,4.701,-74.147,65,30989932
CJU,JEJU INTERNATIONAL,CHEJU,KOREA,36,33.511,126.493,67,29846712
LGA,LA GUARDIA,NEW YORK,USA,7,40.777,-73.872,68,29786769
PHL,PHILADELPHIA INTERNATIONAL,PHILADELPHIA,USA,12,39.872,-75.241,69,29585754
DUB,DUBLIN,DUBLIN,IRELAND,74,53.421,-6.27,70,29582321
ZRH,ZURICH,ZURICH,SWITZERLAND,432,47.465,8.549,71,29396094
CPH,KASTRUP,COPENHAGEN,DENMARK,6,55.618,12.656,72,29177833
PMI,PALMA DE MALLORCA,PALMA DE MALLORCA,SPAIN,3,39.55,2.733,74,27970655
MAN,MANCHESTER,MANCHESTER,ENGLAND,79,53.354,-2.275,75,27901708
OSL,OSLO GARDERMOEN,OSLO,NORWAY,208,60.194,11.1,76,27482315
LIS,LISBOA,LISBON,PORTUGAL,114,38.781,-9.136,77,26669755
ARN,ARLANDA,STOCKHOLM,SWEDEN,38,59.652,17.919,78,26642034
BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,45,39.175,-76.668,79,26369411
AYT,ANTALYA,ANTALYA,TURKEY,54,36.901,30.792,80,25931659
STN,STANSTED,LONDON,ENGLAND,107,51.885,0.235,81,25904573
NKG,LU KOU AIRPORT,NANJING,CHINA,15,31.74,118.86,82,25822936
GMP,GIMPO,SEOUL,KOREA,18,37.558,126.791,83,25267408
BLR,BANGALORE,BANGALORE,INDIA,889,12.95,77.668,84,25047272
RUH,KING KHALED INTERNATIONAL,RIYADH,SAUDI ARABIA,625,24.957,46.699,85,25038000
BRU,BRUSSELS NATL,BRUSSELS,BELGIUM,57,50.902,4.499,86,24783911
DUS,DUSSELDORF,DUESSELDORF,GERMANY,45,51.289,6.767,87,24640564
XMN,GAOQI,XIAMEN,CHINA,18,24.544,118.127,88,24485239
