"CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Full citations are available at http://cait.wri.org/faq.html#q07. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2014."
"Country","Year","Population (People)","Total GHG Emissions Excluding Land-Use Change and Forestry Per Capita (tCO2e Per Capita)"
"Afghanistan","2014","32758020","1.0185642514413265"
"Albania","2014","2889104","3.127770997859544"
"Algeria","2014","39113313","5.1667095088569965"
"Andorra","2014","79223","6.540134872448657"
"Angola","2014","26920466","5.86233645063945"
"Antigua & Barbuda","2014","98875","11.475363034134007"
"Argentina","2014","42981515","8.111562544968459"
"Armenia","2014","2906220","2.968212199351735"
"Australia","2014","23460694","25.13712951543548"
"Austria","2014","8541575","8.797873715327677"
"Azerbaijan","2014","9535079","7.6137557024960145"
"Bahamas, The","2014","382169","7.102986887999812"
"Bahrain","2014","1336397","26.22331032619798"
"Bangladesh","2014","159405279","1.0520781861935702"
"Barbados","2014","283385","11.840279545494646"
"Belarus","2014","9474511","9.454860684630585"
"Belgium","2014","11209057","9.590744002818436"
"Belize","2014","351694","27.86994828743169"
"Benin","2014","10286712","1.2360421814084033"
"Bhutan","2014","776448","1.9669569076100395"
"Bolivia","2014","10562159","4.588707073998791"
"Bosnia & Herzegovina","2014","3566002","8.033998682558225"
"Botswana","2014","2168573","6.539015855126851"
"Brazil","2014","204213133","5.14659021464599"
"Brunei","2014","411704","46.654812923848205"
"Bulgaria","2014","7223938","8.001809107442506"
"Burkina Faso","2014","17585977","1.3363389415327906"
"Burundi","2014","9891790","0.33377433983131466"
"Cambodia","2014","15270790","1.8884885719730282"
"Cameroon","2014","22239904","3.7382293655584125"
"Canada","2014","35544564","20.962663435680348"
"Cape Verde","2014","526437","1.2324536136327804"
"Central African Republic","2014","4515392","10.755703949956061"
"Chad","2014","13569438","2.0241225428790783"
"Chile","2014","17613798","5.515697985181845"
"China","2014","1364270000","8.731198215895681"
"Colombia","2014","47791911","3.4078968551812046"
"Comoros","2014","759385","0.5239000612337615"
"Congo, Rep.","2014","4871101","1.4366899702962432"
"Congo, Dem. Rep.","2014","73722860","0.5588315331228333"
"Cook Islands","2014","",""
"Costa Rica","2014","4757575","2.9211415794811435"
"Cote d'Ivoire","2014","22531350","1.4974727133527286"
"Croatia","2014","4238389","5.35241117792633"
"Cuba","2014","11439767","4.093411556371734"
"Cyprus","2014","1152309","6.093996259683817"
"Czech Republic","2014","10525347","11.0941993741394"
"Denmark","2014","5643475","8.642565756027977"
"Djibouti","2014","912164","1.6601254456435468"
"Dominica","2014","72778","3.337501854956168"
"Dominican Republic","2014","10405844","3.181607825371974"
"Ecuador","2014","15903112","3.8124243009795817"
"Egypt","2014","91812566","2.970018344765574"
"El Salvador","2014","6281189","1.881993035076639"
"Equatorial Guinea","2014","1129424","18.221611759622604"
"Eritrea","2014","",""
"Estonia","2014","1314545","16.763419342814437"
"Ethiopia","2014","97366774","1.3270770129448883"
"Fiji","2014","885806","2.509190914263394"
"Finland","2014","5461512","10.899475515205314"
"France","2014","66331957","6.227983760527373"
"Gabon","2014","1875713","3.8697569750809424"
"Gambia, The","2014","1917852","4.007535160690189"
"Georgia","2014","3727000","4.395534132009659"
"Germany","2014","80982500","10.545578278023031"
"Ghana","2014","26962563","1.122292309525619"
"Greece","2014","10892413","7.7222320894369325"
"Grenada","2014","106360","18.325551983828504"
"Guatemala","2014","15923559","1.9378841991291016"
"Guinea","2014","11805509","1.3582760201190818"
"Guinea-Bissau","2014","1725744","1.173138361773241"
"Guyana","2014","763393","5.865381858361289"
"Haiti","2014","10572466","0.8202257869639875"
"Honduras","2014","8809216","2.4377674131273435"
"Hungary","2014","9866468","5.752339022434371"
"Iceland","2014","327386","8.898501964042445"
"India","2014","1293859294","2.380330498286779"
"Indonesia","2014","255131116","3.09439001552441"
"Iran","2014","78411092","9.355886912020049"
"Iraq","2014","35006080","8.424249007600965"
"Ireland","2014","4617225","12.714586239570306"
"Israel","2014","8215700","10.648112369000817"
"Italy","2014","60789140","6.631237753980399"
"Jamaica","2014","2862087","3.2811781720821207"
"Japan","2014","127276000","10.328655928847544"
"Jordan","2014","8809306","3.6782720681969723"
"Kazakhstan","2014","17289224","16.867889310705905"
"Kenya","2014","46024250","1.3151740421625555"
"Kiribati","2014","110458","0.7682756522841262"
"Korea, Dem. Rep. (North)","2014","25116363","2.7359370737713893"
"Korea, Rep. (South)","2014","50746659","13.226287070445366"
"Kuwait","2014","3782450","52.603482821980464"
"Kyrgyzstan","2014","5835500","2.5992912141204694"
"Laos","2014","6576397","1.756540106991716"
"Latvia","2014","1993782","6.362743083245812"
"Lebanon","2014","5603279","5.103328178018621"
"Lesotho","2014","2145785","2.031029242911103"
"Liberia","2014","4390737","0.48972557408927025"
"Libya","2014","6204108","21.546183109642836"
"Liechtenstein","2014","37127","2.0015249818191614"
"Lithuania","2014","2932367","6.491423996382445"
"Luxembourg","2014","556319","19.43284178681656"
"Macedonia, FYR","2014","2077495","5.639407849357038"
"Madagascar","2014","23589801","1.136775596792868"
"Malawi","2014","17068838","0.5973990221244116"
"Malaysia","2014","30228017","10.483720314832428"
"Maldives","2014","401000","3.5485215785536157"
"Mali","2014","16962846","1.8590097770150127"
"Malta","2014","427364","6.945917073033761"
"Marshall Islands","2014","52898","2.637117849446104"
"Mauritania","2014","4063920","2.7566351576802695"
"Mauritius","2014","1260934","4.633648244079389"
"Mexico","2014","124221600","5.809411130592426"
"Micronesia","2014","104015","1.7330615680430708"
"Moldova","2014","3556397","3.453710491264052"
"Mongolia","2014","2923896","13.97567704186469"
"Montenegro","2014","621810","5.421839314259983"
"Morocco","2014","34318082","2.3803955296802424"
"Mozambique","2014","27212382","1.0446234662588523"
"Myanmar","2014","51924182","2.06806127826915"
"Namibia","2014","2370992","4.517222238624171"
"Nauru","2014","11853","4.521393065046824"
"Nepal","2014","28323241","1.3247486804211426"
"Netherlands","2014","16865008","10.683301330186147"
"New Zealand","2014","4509700","16.795666769408164"
"Nicaragua","2014","6013997","2.4136376722502524"
"Niger","2014","19148219","1.4610064246706183"
"Nigeria","2014","176460502","1.7232563653253123"
"Niue","2014","",""
"Norway","2014","5137232","9.126615221971678"
"Oman","2014","3960925","26.838244627201977"
"Pakistan","2014","185546257","1.7967642403047774"
"Palau","2014","21094","20.54769531620366"
"Panama","2014","3903986","4.5486145442119925"
"Papua New Guinea","2014","7755785","2.1648033332538232"
"Paraguay","2014","6552584","6.091828457292573"
"Peru","2014","30973354","2.894745294293928"
"Philippines","2014","100102249","1.8145052395376253"
"Poland","2014","38011735","9.284171535448198"
"Portugal","2014","10401062","5.921047633405127"
"Qatar","2014","2374419","37.10926541608705"
"Romania","2014","19908979","5.464503870339106"
"Russian Federation","2014","143819666","14.864630376766415"
"Rwanda","2014","11345357","0.5930404466778789"
"Saint Kitts & Nevis","2014","53739","7.133448854649324"
"Saint Lucia","2014","176421","6.449951440021313"
"Saint Vincent & Grenadines","2014","109357","2.5136171804274072"
"Samoa","2014","192290","2.4487067606219775"
"Sao Tome & Principe","2014","191266","0.9950897545826232"
"Saudi Arabia","2014","30776722","18.954912238541844"
"Senegal","2014","14546111","1.7405271903947386"
"Serbia","2014","7130576","7.210587411171272"
"Seychelles","2014","91359","6.152504777854397"
"Sierra Leone","2014","7079162","0.9508631044182914"
"Singapore","2014","5469724","9.576399763498122"
"Slovakia","2014","5418649","7.033657210496565"
"Slovenia","2014","2061980","8.103357442846196"
"Solomon Islands","2014","575504","0.9914079050710334"
"Somalia","2014","13513125","1.7213838294250958"
"South Africa","2014","54146735","9.693936241954384"
"Spain","2014","46480882","6.5794390584068525"
"Sri Lanka","2014","20771000","1.962042316691541"
"Sudan","2014","37737913","3.0259879315530775"
"Suriname","2014","547928","6.24264089077397"
"Swaziland","2014","1295097","2.2897873749997104"
"Sweden","2014","9696110","5.246763344268991"
"Switzerland","2014","8188649","5.825743297826052"
"Syria","2014","19203090","3.30240897168112"
"Tajikistan","2014","8362745","1.4296289471937742"
"Tanzania","2014","52234869","1.4948448866599053"
"Thailand","2014","68416772","5.238753769324282"
"Togo","2014","7228915","0.9675647884917723"
"Tonga","2014","105782","3.1502847176268176"
